File Name, HeapSort, MergeSort, QuickSort, 
./Test Files/Small_Unsorted_1.txt, 9848858, 9040594, 726583, 
./Test Files/Small_Unsorted_2.txt, 3833913, 1948389, 855, 
./Test Files/Small_Unsorted_3.txt, 3673543, 3039760, 428, 
./Test Files/Small_Unsorted_4.txt, 2535129, 2834914, 428, 
./Test Files/Small_Unsorted_5.txt, 3428926, 2033064, 428, 
./Test Files/Small_Unsorted_6.txt, 2264852, 3224507, 428, 
./Test Files/Small_Unsorted_7.txt, 2325579, 1811540, 855, 
./Test Files/Small_Unsorted_8.txt, 1734562, 2261431, 855, 
./Test Files/Small_Unsorted_9.txt, 1766636, 2702769, 855, 
./Test Files/Small_Unsorted_10.txt, 2718166, 2378608, 856, 
./Test Files/Small_Unsorted_11.txt, 15696164, 2954658, 855, 
./Test Files/Small_Unsorted_12.txt, 2020663, 1855161, 856, 
./Test Files/Small_Unsorted_13.txt, 1834634, 1799993, 855, 
./Test Files/Small_Unsorted_14.txt, 1918881, 1798282, 856, 
./Test Files/Small_Unsorted_15.txt, 1678540, 2240476, 855, 
./Test Files/Small_Unsorted_16.txt, 3004266, 2244753, 856, 
./Test Files/Small_Unsorted_17.txt, 2540262, 3368626, 1283, 
./Test Files/Small_Unsorted_18.txt, 1843186, 2064283, 1711, 
./Test Files/Small_Unsorted_19.txt, 1628077, 1982602, 1711, 
./Test Files/Small_Unsorted_20.txt, 1626366, 2713033, 2138, 
./Test Files/Small_Unsorted_21.txt, 2557795, 1994576, 1711, 
./Test Files/Small_Unsorted_22.txt, 1838482, 3030352, 2138, 
./Test Files/Small_Unsorted_23.txt, 3017950, 3036340, 2138, 
./Test Files/Small_Unsorted_24.txt, 2739121, 3038050, 1283, 
./Test Files/Small_Unsorted_25.txt, 1623372, 1802132, 1711, 
./Test Files/Small_Unsorted_26.txt, 1986451, 1801704, 1710, 
./Test Files/Small_Unsorted_27.txt, 1620807, 1849173, 1711, 
./Test Files/Small_Unsorted_28.txt, 1668704, 1799993, 1711, 
./Test Files/Small_Unsorted_29.txt, 1619096, 2106621, 2138, 
./Test Files/Small_Unsorted_30.txt, 1643900, 2328573, 2138, 
./Test Files/Small_Sorted_1.txt, 2948243, 5982872, 1710, 
./Test Files/Small_Sorted_2.txt, 1456588, 1510900, 1710, 
./Test Files/Small_Sorted_3.txt, 1318028, 2359364, 1283, 
./Test Files/Small_Sorted_4.txt, 1302205, 1555375, 1711, 
./Test Files/Small_Sorted_5.txt, 1315890, 1082819, 1283, 
./Test Files/Small_Sorted_6.txt, 1301349, 1078542, 1283, 
./Test Files/Small_Sorted_7.txt, 1304771, 1102063, 855, 
./Test Files/Small_Sorted_8.txt, 1746537, 1090944, 1710, 
./Test Files/Small_Sorted_9.txt, 1307337, 1103346, 1283, 
./Test Files/Small_Sorted_10.txt, 2180605, 1111899, 1283, 
./Test Files/Small_Sorted_11.txt, 1315890, 1767491, 1711, 
./Test Files/Small_Sorted_12.txt, 1331713, 1302205, 1283, 
./Test Files/Small_Sorted_13.txt, 1740549, 1102491, 1283, 
./Test Files/Small_Sorted_14.txt, 1312041, 1069989, 1283, 
./Test Files/Small_Sorted_15.txt, 1304343, 1074265, 855, 
./Test Files/Small_Sorted_16.txt, 2077968, 1701633, 1711, 
./Test Files/Small_Sorted_17.txt, 1477542, 1217957, 1283, 
./Test Files/Small_Sorted_18.txt, 1299211, 1253880, 3849, 
./Test Files/Small_Sorted_19.txt, 3191578, 2799847, 2994, 
./Test Files/Small_Sorted_20.txt, 5046311, 2697638, 2138, 
./Test Files/Small_Sorted_21.txt, 1342404, 1075977, 1711, 
./Test Files/Small_Sorted_22.txt, 1316317, 1094365, 1711, 
./Test Files/Small_Sorted_23.txt, 1299211, 1070417, 1711, 
./Test Files/Small_Sorted_24.txt, 1312468, 1072983, 1283, 
./Test Files/Small_Sorted_25.txt, 1299639, 1072554, 1283, 
./Test Files/Small_Sorted_26.txt, 1310330, 1069988, 855, 
./Test Files/Small_Sorted_27.txt, 1309475, 1072128, 855, 
./Test Files/Small_Sorted_28.txt, 1303060, 1097358, 2566, 
./Test Files/Small_Sorted_29.txt, 1630215, 1588305, 2139, 
./Test Files/Small_Sorted_30.txt, 1448035, 1068278, 1283, 
./Test Files/Small_Reverse_Sort_1.txt, 1256873, 1160224, 1710, 
./Test Files/Small_Reverse_Sort_2.txt, 1241478, 2099351, 1283, 
./Test Files/Small_Reverse_Sort_3.txt, 1687093, 1593437, 1283, 
./Test Files/Small_Reverse_Sort_4.txt, 1265854, 1149960, 1710, 
./Test Files/Small_Reverse_Sort_5.txt, 1308192, 1197002, 1283, 
./Test Files/Small_Reverse_Sort_6.txt, 1279967, 1196147, 1283, 
./Test Files/Small_Reverse_Sort_7.txt, 1269703, 1144400, 1283, 
./Test Files/Small_Reverse_Sort_8.txt, 1306909, 1430073, 1283, 
./Test Files/Small_Reverse_Sort_9.txt, 1252169, 1142262, 1283, 
./Test Files/Small_Reverse_Sort_10.txt, 1264144, 1147822, 1283, 
./Test Files/Small_Reverse_Sort_11.txt, 1310330, 1302205, 1711, 
./Test Files/Small_Reverse_Sort_12.txt, 1249604, 1157658, 1711, 
./Test Files/Small_Reverse_Sort_13.txt, 1242333, 1219668, 1283, 
./Test Files/Small_Reverse_Sort_14.txt, 1246183, 1246182, 1711, 
./Test Files/Small_Reverse_Sort_15.txt, 1266709, 1149105, 1283, 
./Test Files/Small_Reverse_Sort_16.txt, 1236346, 1149960, 1283, 
./Test Files/Small_Reverse_Sort_17.txt, 1235918, 1826508, 1283, 
